model,augmentation,parameters,aug_strength,test_avg_f1,test_avg_prec,test_avg_rc,test_f1_class1,test_prec_class1,test_rc_class1,test_pr_auc_class1,test_f1_class2,test_prec_class2,test_rc_class2,test_pr_auc_class2,test_f1_class3,test_prec_class3,test_rc_class3,test_pr_auc_class3,val_avg_f1,val_avg_prec,val_avg_rc,val_f1_class1,val_prec_class1,val_rc_class1,val_f1_class2,val_prec_class2,val_rc_class2,val_f1_class3,val_prec_class3,val_rc_class3
simclr,EM,var=1.0,3,76.01,85.45,72.01,87.37,90.55,84.41,94.76,74.26,68.37,81.26,75.49,66.39,97.43,50.35,76.4,54.83,76.97,55.39,82.48,72.52,95.61,76.49,87.92,67.69,5.53,70.49,2.88
simclr,GN,var=0.01,1,78.78,88.77,73.09,89.92,86.12,94.07,95.42,73.81,80.67,68.02,77.22,72.63,99.54,57.17,73.8,54.06,74.03,53.91,79.2,66.37,98.19,69.56,91.72,56.03,13.43,64.0,7.5
simclr,GN,var=0.1,2,75.54,86.89,70.08,88.54,86.84,90.3,94.03,72.43,73.84,71.08,74.9,65.64,100.0,48.85,63.92,52.41,69.81,53.52,80.74,69.41,96.51,73.38,88.96,62.45,3.12,51.06,1.61
simclr,GN,var=1.0,3,77.22,86.63,73.07,88.59,91.1,86.22,95.59,76.03,70.84,82.03,75.46,67.05,97.96,50.97,60.32,54.11,77.6,54.72,81.64,70.96,96.11,75.02,88.5,65.1,5.67,73.33,2.95
simclr,Neg,True,2,77.76,88.31,71.98,89.91,85.96,94.24,95.4,73.25,80.4,67.27,75.57,70.13,98.56,54.42,57.02,54.66,75.96,54.63,80.4,68.51,97.28,72.71,90.62,60.72,10.86,68.75,5.89
simclr,TO,"crop_ratio_range=[0.1, 0.2]",1,83.43,88.66,79.78,89.83,89.68,89.97,95.95,77.29,76.56,78.05,80.53,83.18,99.75,71.33,85.27,53.95,63.12,54.45,81.24,70.03,96.73,73.51,89.03,62.6,7.1,30.3,4.02
simclr,TO,"crop_ratio_range=[0.0, 0.5]",2,79.46,87.45,74.92,89.18,89.12,89.23,95.81,75.53,74.26,76.85,77.63,73.67,98.96,58.67,69.34,55.86,71.51,55.85,82.14,71.39,96.71,75.57,89.48,65.4,9.85,53.64,5.43
simclr,TO,"crop_ratio_range=[0.4, 0.5]",3,82.21,88.22,78.19,89.43,89.02,89.84,95.9,76.13,75.76,76.5,78.11,81.07,99.87,68.23,81.98,54.16,73.61,54.89,82.0,71.48,96.15,75.7,88.69,66.04,4.76,60.66,2.48
byol,BlW,fs=100_C=0.1,1,75.8,86.67,71.42,88.02,90.52,85.66,95.87,74.92,69.69,80.99,73.01,64.47,99.81,47.61,49.41,53.93,65.75,55.01,82.53,72.76,95.33,77.17,88.13,68.63,2.08,36.36,1.07
byol,BlW,fs=100_C=0.7,2,76.93,85.86,72.96,86.88,90.29,83.71,95.59,73.67,67.62,80.91,75.24,70.26,99.67,54.25,56.78,52.37,57.38,53.32,80.34,69.7,94.8,73.34,87.34,63.21,3.44,15.1,1.94
byol,BlW,fs=100_C=1.0,3,77.99,87.07,73.73,88.3,90.51,86.21,95.86,75.41,70.69,80.81,75.5,70.26,100.0,54.16,57.9,52.33,59.94,53.63,81.14,70.9,94.85,74.68,86.96,65.44,1.17,21.95,0.6
